"country","HappiestCountriesWorldHappinessReportRankings2024","HappiestCountriesWorldHappinessReportScore2024","LatestScoreChange","HappiestCountriesWorldHappiessReportRankings2023","HappiestCountriesWorldHappiessReportScore2023","HappiestCountriesWorldHappiessReportRankings2022","HappiestCountriesWorldHappiessReportScore2022"
"India",126,4.05,0.014000000000000234,126,4.036,136,3.777
"China",60,5.97,0.15200000000000014,64,5.818,72,5.585
"United States",23,6.73,-0.1639999999999997,15,6.894,16,6.977
"Indonesia",80,5.57,0.29300000000000015,84,5.277,87,5.24
"Pakistan",108,4.66,0.10500000000000043,108,4.555,121,4.516
"Nigeria",102,4.88,-0.10099999999999998,95,4.981,118,4.552
"Brazil",44,6.27,0.14499999999999957,49,6.125,38,6.293
"Bangladesh",129,3.89,-0.3919999999999999,118,4.282,94,5.155
"Russia",72,5.79,0.12900000000000045,70,5.661,80,5.459
"Ethiopia",130,3.86,-0.23100000000000032,124,4.091,131,4.241
"Mexico",25,6.68,0.34999999999999964,36,6.33,46,6.128
"Japan",51,6.06,-0.06899999999999995,47,6.129,54,6.039
"Egypt",127,3.98,-0.18999999999999995,121,4.17,129,4.288
"Philippines",53,6.05,0.5270000000000001,76,5.523,60,5.904
"DR Congo",139,3.3,0.09299999999999997,133,3.207,,
"Vietnam",54,6.04,0.27700000000000014,65,5.763,77,5.485
"Iran",100,4.92,0.043999999999999595,101,4.876,110,4.888
"Turkey",98,4.98,0.36600000000000055,106,4.614,112,4.744
"Germany",24,6.72,-0.1720000000000006,16,6.892,14,7.034
"Thailand",58,5.98,0.13700000000000045,60,5.843,61,5.891
"United Kingdom",20,6.75,-0.04600000000000026,19,6.796,17,6.943
"Tanzania",131,3.78,0.08599999999999985,129,3.694,139,3.702
"France",27,6.61,-0.05099999999999927,21,6.661,20,6.687
"South Africa",83,5.42,0.14499999999999957,85,5.275,91,5.194
"Italy",41,6.32,-0.08499999999999996,33,6.405,31,6.467
"Kenya",114,4.47,-0.017000000000000348,111,4.487,119,4.543
"Myanmar",118,4.35,-0.02200000000000024,117,4.372,126,4.394
"Colombia",78,5.7,0.07000000000000028,72,5.63,66,5.781
"South Korea",52,6.06,0.10899999999999999,57,5.951,59,5.935
"Uganda",117,4.37,-0.06200000000000028,113,4.432,117,4.603
"Spain",36,6.42,-0.016000000000000014,32,6.436,29,6.476
"Algeria",85,5.36,0.031000000000000583,81,5.329,96,5.122
"Iraq",92,5.17,0.2290000000000001,98,4.941,107,4.941
"Argentina",48,6.19,0.16600000000000037,52,6.024,57,5.967
"Afghanistan",143,1.72,-0.139,137,1.859,146,2.404
"Yemen",133,3.56,,,,132,4.197
"Canada",15,6.9,-0.06099999999999994,13,6.961,15,7.025
"Poland",35,6.44,0.1800000000000006,39,6.26,48,6.123
"Morocco",107,4.8,-0.10299999999999976,100,4.903,100,5.06
"Ukraine",105,4.87,-0.20099999999999962,92,5.071,98,5.084
"Uzbekistan",47,6.2,0.18599999999999994,54,6.014,53,6.063
"Malaysia",59,5.98,-0.03199999999999914,55,6.012,70,5.711
"Mozambique",90,5.22,0.266,97,4.954,101,5.048
"Ghana",120,4.29,-0.3150000000000004,107,4.605,111,4.872
"Peru",68,5.84,0.31400000000000006,75,5.526,74,5.559
"Saudi Arabia",28,6.59,0.12699999999999978,30,6.463,25,6.523
"Madagascar",123,4.23,0.2110000000000003,127,4.019,128,4.339
"Ivory Coast",96,5.08,0.027000000000000135,93,5.053,88,5.235
"Nepal",93,5.16,-0.20000000000000018,78,5.36,84,5.377
"Cameroon",104,4.87,-0.10299999999999976,96,4.973,102,5.048
"Venezuela",79,5.61,0.399,88,5.211,108,4.925
"Niger",109,4.56,0.058999999999999275,109,4.501,104,5.003
"Australia",10,7.06,-0.03500000000000014,12,7.095,12,7.162
"Mali",122,4.23,0.03200000000000003,120,4.198,123,4.479
"Burkina Faso",110,4.55,-0.08800000000000008,104,4.638,113,4.67
"Taiwan",31,6.5,-0.03500000000000014,27,6.535,26,6.512
"Sri Lanka",128,3.9,-0.5420000000000003,112,4.442,127,4.362
"Malawi",136,3.42,-0.07500000000000018,131,3.495,138,3.75
"Zambia",134,3.5,-0.4820000000000002,128,3.982,137,3.76
"Kazakhstan",49,6.19,0.04600000000000026,44,6.144,40,6.234
"Chad",113,4.47,0.07299999999999951,114,4.397,130,4.251
"Chile",38,6.36,0.02600000000000069,35,6.334,44,6.172
"Romania",32,6.49,-0.0990000000000002,24,6.589,28,6.477
"Senegal",99,4.97,0.11499999999999932,102,4.855,103,5.046
"Guatemala",42,6.29,0.13999999999999968,43,6.15,39,6.262
"Netherlands",6,7.32,-0.0829999999999993,5,7.403,5,7.415
"Ecuador",74,5.73,0.17100000000000026,74,5.559,76,5.553
"Cambodia",119,4.34,-0.052999999999999936,115,4.393,114,4.64
"Zimbabwe",138,3.34,0.13599999999999968,134,3.204,144,2.995
"Guinea",97,5.02,-0.05200000000000049,91,5.072,109,4.891
"Benin",116,4.38,0.006000000000000227,116,4.374,115,4.623
"Rwanda",,,,,,143,3.268
"Bolivia",73,5.78,0.09600000000000009,69,5.684,71,5.6
"Tunisia",115,4.42,-0.07699999999999996,110,4.497,120,4.516
"Belgium",16,6.89,0.030999999999999694,17,6.859,19,6.805
"Jordan",125,4.19,0.07000000000000028,123,4.12,134,4.152
"Dominican Republic",69,5.82,0.25100000000000033,73,5.569,69,5.737
"United Arab Emirates",22,6.73,0.1590000000000007,26,6.571,24,6.576
"Honduras",61,5.97,-0.052999999999999936,53,6.023,55,6.022
"Czech Republic",18,6.82,-0.024999999999999467,18,6.845,18,6.92
"Sweden",4,7.34,-0.054999999999999716,6,7.395,7,7.384
"Tajikistan",88,5.28,-0.04999999999999982,80,5.33,83,5.377
"Portugal",55,6.03,0.06200000000000028,56,5.968,56,6.016
"Azerbaijan",101,4.89,,,,92,5.173
"Greece",64,5.93,-0.001000000000000334,58,5.931,58,5.948
"Hungary",56,6.02,-0.021000000000000796,51,6.041,51,6.086
"Togo",124,4.21,0.0730000000000004,122,4.137,135,4.112
"Israel",5,7.34,-0.133,4,7.473,9,7.364
"Austria",14,6.91,-0.18700000000000028,11,7.097,11,7.163
"Belarus",,,,,,65,5.821
"Switzerland",9,7.06,-0.1800000000000006,8,7.24,4,7.512
"Sierra Leone",140,3.25,0.1120000000000001,135,3.138,140,3.574
"Laos",94,5.14,0.028999999999999915,89,5.111,95,5.14
"Turkmenistan",,,,,,78,5.474
"Hong Kong",86,5.32,0.012000000000000455,82,5.308,81,5.425
"Libya",66,5.87,,,,86,5.33
"Kyrgyzstan",,,,62,5.825,64,5.828
"Paraguay",57,5.98,0.242,66,5.738,73,5.578
"Nicaragua",43,6.28,0.020999999999999908,40,6.259,45,6.165
"Bulgaria",81,5.46,-0.006000000000000227,77,5.466,85,5.371
"Serbia",37,6.41,0.266,45,6.144,43,6.178
"El Salvador",33,6.47,0.34799999999999986,50,6.122,49,6.12
"Republic of the Congo",89,5.22,-0.0470000000000006,86,5.267,99,5.075
"Denmark",2,7.58,-0.006000000000000227,2,7.586,2,7.636
"Singapore",30,6.52,-0.06700000000000017,25,6.587,27,6.48
"Lebanon",142,2.71,0.31800000000000006,136,2.392,145,2.955
"Finland",1,7.74,-0.06400000000000006,1,7.804,1,7.821
"Liberia",121,4.27,0.22799999999999976,125,4.042,97,5.122
"Norway",7,7.3,-0.015000000000000568,7,7.315,8,7.365
"Slovakia",45,6.26,-0.20900000000000052,29,6.469,35,6.391
"Palestine",103,4.88,-0.02800000000000047,99,4.908,122,4.483
"Ireland",17,6.84,-0.07099999999999973,14,6.911,13,7.041
"New Zealand",11,7.03,-0.09299999999999997,10,7.123,10,7.2
"Mauritania",111,4.51,-0.2140000000000004,103,4.724,133,4.153
"Costa Rica",12,6.96,0.351,23,6.609,23,6.582
"Kuwait",13,6.95,,,,50,6.106
"Panama",39,6.36,0.09500000000000064,38,6.265,37,6.309
"Croatia",63,5.94,-0.1849999999999996,48,6.125,47,6.125
"Georgia",91,5.19,0.0810000000000004,90,5.109,105,4.973
"Mongolia",77,5.7,-0.13999999999999968,61,5.84,68,5.761
"Uruguay",26,6.61,0.11600000000000055,28,6.494,30,6.474
"Bosnia and Herzegovina",65,5.88,0.2469999999999999,71,5.633,67,5.768
"Moldova",71,5.82,0.001000000000000334,63,5.819,62,5.857
"Namibia",106,4.83,0.19899999999999984,105,4.631,124,4.459
"Armenia",82,5.46,0.11800000000000033,79,5.342,82,5.399
"Lithuania",19,6.82,0.057000000000000384,20,6.763,34,6.446
"Jamaica",67,5.84,0.13699999999999957,68,5.703,63,5.85
"Albania",87,5.3,0.022999999999999687,83,5.277,90,5.199
"Gambia",112,4.49,0.2110000000000003,119,4.279,93,5.164
"Gabon",95,5.11,0.07500000000000018,94,5.035,106,4.958
"Botswana",137,3.38,-0.05500000000000016,132,3.435,142,3.471
"Lesotho",141,3.19,,,,141,3.512
"Slovenia",21,6.74,0.08999999999999986,22,6.65,22,6.63
"Latvia",46,6.23,0.017000000000000348,41,6.213,42,6.18
"North Macedonia",84,5.37,0.11600000000000055,87,5.254,89,5.199
"Bahrain",62,5.96,-0.21300000000000008,42,6.173,21,6.647
"Estonia",34,6.45,-0.004999999999999893,31,6.455,36,6.341
"Cyprus",50,6.07,-0.05999999999999961,46,6.13,41,6.221
"Mauritius",70,5.82,-0.08199999999999985,59,5.902,52,6.071
"Eswatini",135,3.5,,,,125,4.396
"Comoros",132,3.57,0.02499999999999991,130,3.545,116,4.609
"Luxembourg",8,7.12,-0.10799999999999965,9,7.228,6,7.404
"Montenegro",75,5.71,-0.012000000000000455,67,5.722,75,5.547
"Malta",40,6.35,0.04999999999999982,37,6.3,33,6.447
"Iceland",3,7.53,,3,7.53,3,7.557
